location, location_pt
Slovakia, Eslováquia
Slovenia, Eslovénia
Austria, Áustria
Czechia, Rep. Checa
Netherlands, Países Baixos
Belgium, Bélgica
Liechtenstein,Liechtenstein
Croatia, Croácia
Ireland, Irlanda
Hungary, Hungria
Denmark, Dinamarca
Lithuania, Lituânia
Greece, Grécia
Montenegro, Montenegro
United Kingdom, Reino Unido
Germany, Alemanha
Estonia, Estónia
San Marino, São Marino
Poland, Polónia
Switzerland, Suíça
Andorra, Andorra
Iceland, Islândia
Serbia, Sérvia
Cyprus, Chipre
Latvia, Letónia
Ukraine, Ucrânia
Luxembourg, Luxemburgo
Norway, Noruega
Bulgaria, Bulgária
Monaco, Mónaco
France, França
Russia, Rússia
Bosnia and Herzegovina, Bósnia
Portugal, Portugal
North Macedonia, Mace. do Norte
Finland,Finlândia
Belarus, Bielorrússia
Moldova, Moldávia
Italy, Itália
Romania, Roménia
Albania, Albânia
Malta, Malta
Spain, Espanha
Sweden, Suécia
Kosovo, Kosovo